,COCO Word,COCO Wordnet Label,Places365 Label,Places365 Wordnet Label,Wordnet Similarity
0,['airplane'],Synset('airplane.n.01'),['dining_room'],Synset('dining_room.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['dorm_room'],Synset('dormitory.n.02'),0.45454545454545453
0,['airplane'],Synset('airplane.n.01'),['ski_slope'],Synset('ski_slope.n.01'),0.3333333333333333
0,['airplane'],Synset('airplane.n.01'),['baseball_field'],Synset('ball_field.n.01'),0.2857142857142857
0,['airplane'],Synset('airplane.n.01'),['volleyball_court'],Synset('volleyball_court.n.01'),0.2727272727272727
0,['airplane'],Synset('airplane.n.01'),['bridge'],Synset('bridge.n.01'),0.5263157894736842
0,['airplane'],Synset('airplane.n.01'),living_room.n.01,Synset('living_room.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['playroom'],Synset('rumpus_room.n.01'),0.45454545454545453
0,['airplane'],Synset('airplane.n.01'),['ocean'],Synset('ocean.n.01'),0.23529411764705882
0,['airplane'],Synset('airplane.n.01'),['ocean'],Synset('ocean.n.01'),0.23529411764705882
0,['airplane'],Synset('airplane.n.01'),['highway'],Synset('highway.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),['bus_station'],Synset('bus_terminal.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['bus_station'],Synset('bus_terminal.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['market'],Synset('market.n.01'),0.10526315789473684
0,['airplane'],Synset('airplane.n.01'),['wave'],Synset('wave.n.01'),0.10526315789473684
0,['airplane'],Synset('airplane.n.01'),['museum'],Synset('museum.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),['coffee_shop'],Synset('cafe.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['snowfield'],Synset('snowfield.n.01'),0.3333333333333333
0,['airplane'],Synset('airplane.n.01'),['snowfield'],Synset('snowfield.n.01'),0.3333333333333333
0,['airplane'],Synset('airplane.n.01'),['runway'],Synset('track.n.09'),0.5714285714285714
0,['airplane'],Synset('airplane.n.01'),['dressing_room'],Synset('dressing_room.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['playground'],Synset('resort_area.n.01'),0.3157894736842105
0,['airplane'],Synset('airplane.n.01'),['bakery'],Synset('bakery.n.01'),0.43478260869565216
0,['airplane'],Synset('airplane.n.01'),['living_room'],Synset('living_room.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['pub'],Synset('public_house.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['biology_laboratory'],Synset('biology_lab.n.01'),0.2857142857142857
0,['airplane'],Synset('airplane.n.01'),['television_room'],Synset('television_room.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['orchestra_pit'],Synset('orchestra_pit.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),['nursing_home'],Synset('home.n.09'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['basketball_court'],Synset('basketball_court.n.01'),0.2727272727272727
0,['airplane'],Synset('airplane.n.01'),['delicatessen'],Synset('delicatessen.n.01'),0.21052631578947367
0,['airplane'],Synset('airplane.n.01'),['stable'],Synset('stable.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['train_station'],Synset('railway_station.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),garage.n.01,Synset('garage.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['beer_hall'],Synset('beer_hall.n.01'),0.45454545454545453
0,['airplane'],Synset('airplane.n.01'),['racecourse'],Synset('racetrack.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),['dam'],Synset('dam.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['vegetable_garden'],Synset('kitchen_garden.n.01'),0.2727272727272727
0,['airplane'],Synset('airplane.n.01'),topiary.n.01,Synset('topiary.n.01'),0.2727272727272727
0,['airplane'],Synset('airplane.n.01'),['beach'],Synset('beach.n.01'),0.35294117647058826
0,['airplane'],Synset('airplane.n.01'),['kitchen'],Synset('kitchen.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['raceway'],Synset('raceway.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),banquet.n.01,Synset('banquet.n.01'),0.09523809523809523
0,['airplane'],Synset('airplane.n.01'),rink.n.01,Synset('rink.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),studio.n.03,Synset('studio.n.03'),0.3
0,['airplane'],Synset('airplane.n.01'),['street'],Synset('street.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['gas_station'],Synset('gasoline_station.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['shopfront'],Synset('shopfront.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['restaurant'],Synset('restaurant.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),['driveway'],Synset('driveway.n.01'),0.5
0,['airplane'],Synset('airplane.n.01'),['repair_shop'],Synset('repair_shop.n.01'),0.43478260869565216
0,['airplane'],Synset('airplane.n.01'),['bedchamber'],Synset('bedroom.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['bathroom'],Synset('bathroom.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['crosswalk'],Synset('crossing.n.05'),0.5
0,['airplane'],Synset('airplane.n.01'),['fountain'],Synset('fountain.n.01'),0.5263157894736842
0,['airplane'],Synset('airplane.n.01'),['fountain'],Synset('fountain.n.01'),0.5263157894736842
0,['airplane'],Synset('airplane.n.01'),['pet_shop'],Synset('pet_shop.n.01'),0.43478260869565216
0,['airplane'],Synset('airplane.n.01'),['pizzeria'],Synset('pizzeria.n.01'),0.43478260869565216
0,['airplane'],Synset('airplane.n.01'),['park'],Synset('park.n.01'),0.3
0,['airplane'],Synset('airplane.n.01'),['slum'],Synset('slum.n.01'),0.3
0,['airplane'],Synset('airplane.n.01'),soccer.n.01,Synset('soccer.n.01'),0.08695652173913043
0,['airplane'],Synset('airplane.n.01'),['airfield'],Synset('airfield.n.01'),0.5263157894736842
0,['airplane'],Synset('airplane.n.01'),booth.n.02,Synset('booth.n.02'),0.45454545454545453
0,['airplane'],Synset('airplane.n.01'),['youth_hostel'],Synset('hostel.n.02'),0.5
0,['airplane'],Synset('airplane.n.01'),['ice_floe'],Synset('ice_floe.n.01'),0.3333333333333333
0,['airplane'],Synset('airplane.n.01'),['office'],Synset('office.n.01'),0.47619047619047616
0,['airplane'],Synset('airplane.n.01'),['railroad_track'],Synset('railroad_track.n.01'),0.5263157894736842
0,['airplane'],Synset('airplane.n.01'),['attic'],Synset('loft.n.02'),0.5
0,['airplane'],Synset('airplane.n.01'),['bar'],Synset('barroom.n.01'),0.47619047619047616
